model,baseline_cv_accuracy,tuned_cv_accuracy,accuracy,precision,recall,f1_score,roc_auc
extra_trees,0.8664921465968587,0.8734729493891797,0.8571428571428571,0.8895705521472392,0.8630952380952381,0.8761329305135952,0.9300220088035214
logistic_regression,0.8682373472949391,0.8787085514834206,0.8571428571428571,0.8944099378881988,0.8571428571428571,0.8753799392097265,0.9275960384153661
naive_bayes,0.7233856893542757,0.8647469458987783,0.8571428571428571,0.8802395209580839,0.875,0.8776119402985074,0.8983343337334935
random_forest,0.8717277486910996,0.8813263525305409,0.8536585365853658,0.8795180722891566,0.8690476190476191,0.874251497005988,0.927420968387355
xgboost,0.8586387434554975,0.8664921465968586,0.8466898954703833,0.8647058823529412,0.875,0.8698224852071006,0.9102641056422569
catboost,0.8638743455497382,0.8717277486910996,0.8362369337979094,0.8666666666666667,0.8511904761904762,0.8588588588588588,0.927420968387355
