iter	Logloss
0	0.6581593684
1	0.6282651567
2	0.5950529852
3	0.5694800178
4	0.5446121883
5	0.5211815627
6	0.5001452619
7	0.477865013
8	0.4585716091
9	0.4405184319
10	0.4251450592
11	0.4095379202
12	0.3933807051
13	0.379184288
14	0.3655710709
15	0.3525238287
16	0.3402069382
17	0.3299538087
18	0.3205794991
19	0.3127679904
20	0.3056298392
21	0.2982755676
22	0.2911806929
23	0.2835940008
24	0.2754290813
25	0.2685979695
26	0.2620698896
27	0.2564415405
28	0.2513173388
29	0.2455020319
30	0.2407787585
31	0.2359137217
32	0.230870038
33	0.2270040571
34	0.2234882332
35	0.2194935075
36	0.2158942754
37	0.2128785419
38	0.2088859367
39	0.2045000451
40	0.2010544303
41	0.1984857227
42	0.1953546579
43	0.1926865162
44	0.1904512561
45	0.187926812
46	0.1851808027
47	0.1822262643
48	0.1790371615
49	0.1766932717
50	0.1742618257
51	0.1715579291
52	0.1689709643
53	0.1659312771
54	0.164176561
55	0.1613025953
56	0.1598144289
57	0.1582009966
58	0.1570613048
59	0.1551500374
60	0.1532816689
61	0.1513462676
62	0.1492614943
63	0.1473952139
64	0.1463274181
65	0.1447044723
66	0.1432262857
67	0.1410667241
68	0.1390755778
69	0.1379950966
70	0.1364515609
71	0.1343988265
72	0.132618811
73	0.1309326005
74	0.1301054158
75	0.1285697438
76	0.1273533399
77	0.1265540511
78	0.1253654372
79	0.1243594473
80	0.1237120335
81	0.1227936094
82	0.1212656411
83	0.1200880086
84	0.1189994865
85	0.1178942481
86	0.1167385584
87	0.1156462984
88	0.1150024946
89	0.1137199172
90	0.1124757634
91	0.1113778419
92	0.1104142731
93	0.1091375336
94	0.1079076862
95	0.1073599744
96	0.1067847368
97	0.1060123818
98	0.1051604018
99	0.104535993
100	0.1034576468
101	0.1026866402
102	0.1017241412
103	0.1006323591
104	0.09994665087
105	0.09859569724
106	0.09798616841
107	0.09702297997
108	0.09588210499
109	0.09520702529
110	0.09440716196
111	0.0938427388
112	0.09278628378
113	0.09215284922
114	0.09155188233
115	0.09092527756
116	0.09027505954
117	0.08991910235
118	0.08918038726
119	0.08837676345
120	0.08741801668
121	0.08660803027
122	0.08564714338
123	0.08497312029
124	0.08424536163
125	0.08358126548
126	0.08292780918
127	0.08226714817
128	0.08165113464
129	0.08122782954
130	0.08048580153
131	0.08011168816
132	0.07941564317
133	0.07871105398
134	0.07828540706
135	0.07760268953
136	0.07726695913
137	0.07667368458
138	0.07592936784
139	0.07557896205
140	0.0749373846
141	0.0743125829
142	0.07344905307
143	0.0728810283
144	0.07226611709
145	0.07168644238
146	0.07097309518
147	0.07020076436
148	0.06974024198
149	0.06927282669
150	0.06849770397
151	0.06801624311
152	0.06765303494
153	0.06678334416
154	0.06640372777
155	0.06570347769
156	0.0650286656
157	0.0644887587
158	0.06421079476
159	0.06346289052
160	0.06307716017
161	0.06249346183
162	0.06212120753
163	0.06162788273
164	0.06114291908
165	0.06069738618
166	0.0602258071
167	0.05968297376
168	0.0593213159
169	0.05867304743
170	0.05825538945
171	0.05796525773
172	0.05755775895
173	0.05714212734
174	0.05657007016
175	0.05591005673
176	0.05561777797
177	0.05522406311
178	0.05461867377
179	0.05427090695
180	0.05405287034
181	0.05382964398
182	0.05331510181
183	0.05307123897
184	0.0527316475
185	0.05254887705
186	0.05220991327
187	0.05187781483
188	0.05150113886
189	0.05117465929
190	0.05077387508
191	0.05049417286
192	0.05031570042
193	0.05009434549
194	0.04984226647
195	0.04947897791
196	0.04889540557
197	0.04854091629
198	0.047968797
199	0.04773009676
